site,date,pointID,sub,status,time,region,depth,dhw,mean_dhw,max_dhw
1-Oct,8/14/2019,Porites compressa_527_1_10,Porites compressa,1,1,1,3,1.603893494,3.092126439,4.922176928
1-Oct,8/14/2019,Montipora capitata_519_1_10,Montipora capitata,1,1,1,3,1.603893494,3.092126439,4.922176928
1-Oct,8/14/2019,Montipora capitata_290_1_10,Montipora capitata,0,1,1,3,1.603893494,3.092126439,4.922176928
1-Oct,8/14/2019,Porites compressa_537_1_10,Porites compressa,0,1,1,3,1.603893494,3.092126439,4.922176928
1-Oct,8/14/2019,Porites compressa_553_1_10,Porites compressa,1,1,1,3,1.603893494,3.092126439,4.922176928
1-Oct,8/14/2019,Montipora capitata_582_1_10,Montipora capitata,1,1,1,3,1.603893494,3.092126439,4.922176928
1-Oct,8/14/2019,Montipora capitata_586_1_10,Montipora capitata,1,1,1,3,1.603893494,3.092126439,4.922176928
1-Oct,8/14/2019,Montipora capitata_563_1_10,Montipora capitata,1,1,1,3,1.603893494,3.092126439,4.922176928
1-Oct,8/14/2019,Montipora capitata_467_1_10,Montipora capitata,1,1,1,3,1.603893494,3.092126439,4.922176928
1-Oct,8/14/2019,Porites compressa_542_1_10,Porites compressa,1,1,1,3,1.603893494,3.092126439,4.922176928
1-Oct,8/14/2019,Montipora capitata_463_1_10,Montipora capitata,1,1,1,3,1.603893494,3.092126439,4.922176928
1-Oct,8/14/2019,Montipora capitata_466_1_10,Montipora capitata,1,1,1,3,1.603893494,3.092126439,4.922176928
1-Oct,8/14/2019,Montipora capitata_81_1_10,Montipora capitata,1,1,1,3,1.603893494,3.092126439,4.922176928
1-Oct,8/14/2019,Montipora capitata_585_1_10,Montipora capitata,2,1,1,3,1.603893494,3.092126439,4.922176928
1-Oct,8/14/2019,Porites compressa_546_1_10,Porites compressa,1,1,1,3,1.603893494,3.092126439,4.922176928
1-Oct,8/14/2019,Montipora capitata_512_1_10,Montipora capitata,1,1,1,3,1.603893494,3.092126439,4.922176928
