Sample	Site	Direction	Left_or_Right_of_transect	DC_distance_fr_0_m	DT_distance_fr_transect_m	X	Y
1	1_2	West	Right	7.2	1	1	7.2
2	1_2	West	Under	8.1	0	0	8.1
3	1_2	West	Left	8.9	0.25	-0.25	8.9
4	1_2	West	Right	8.8	1	1	8.8
5	1_2	South	Left	3.1	1.2	-3.1	-1.2
6	1_2	South	Left	10.3	0.7	-10.3	-0.7
7	1_2	South	Left	10	1.8	-10	-1.8
8	1_2	East	Right	1	0.05	-0.05	-1
9	1_2	East	Right	2.7	0.5	-0.5	-2.7
10	1_2	East	Under	3.3	0	0	-3.3
11	1_2	East	Right	4	0.1	-0.1	-4
12	1_2	East	Under	4.6	0	0	-4.6
13	1_2	East	Under	5.4	0	0	-5.4
14	1_2	East	Left	6.7	0.15	0.15	-6.7
15	1_2	East	Left	7.4	0.6	0.6	-7.4
16	1_2	East	Left	8.3	0.15	0.15	-8.3
17	1_2	East	Left	9.8	0.4	0.4	-9.8
18	1_2	North	Right	4	0.1	4	-0.1
19	1_2	North	Left	5	0.1	5	0.1
20	1_2	North	Left	6	0.05	6	0.05
21	1_3	West	Right	1.9	1	1	1.9
22	1_3	West	Right	1.8	0.6	0.6	1.8
23	1_3	West	Right	4	0.4	0.4	4
25	1_3	West	Under	5	0	0	5
26	1_3	West	Right	5.2	0.6	0.6	5.2
27	1_3	West	Right	5.8	1.3	1.3	5.8
28	1_3	West	Left	7.1	0.1	-0.1	7.1
29	1_3	West	Right	8.3	0.6	0.6	8.3
31	1_3	South	Under	0.5	0	-0.5	0
32	1_3	South	Right	0.6	0.8	-0.6	0.8
33	1_3	South	Left	2.1	0.5	-2.1	-0.5
34	1_3	South	Right	3.2	0.8	-3.2	0.8
35	1_3	South	Right	3.7	1.4	-3.7	1.4
36	1_3	South	Under	3.5	0	-3.5	0
37	1_3	South	Right	5.5	1	-5.5	1
38	1_3	South	Under	8.5	0	-8.5	0
39	1_3	South	Right	10	1.1	-10	1.1
40	1_3	South	Left	10.2	0.3	-10.2	-0.3
41	1_4	West	Left	1.3	0.25	-0.25	1.3
42	1_4	West	Left	1.2	0.9	-0.9	1.2
43	1_4	West	Right	1	1	1	1
44	1_4	West	Right	1.5	1.5	1.5	1.5
45	1_4	West	Right	3.6	1.4	1.4	3.6
46	1_4	West	Left	5	0.3	-0.3	5
47	1_4	West	Right	6.5	1	1	6.5
48	1_4	West	Right	7.5	0.2	0.2	7.5
