Block	Site	Samples	Genotypes	G:R	Mantel p	Wilcox Distance	Mean Relatedness	Mean Relatedness w/o Clones
1	1_10	19	18	0.947	0.94	0.046	0.115	0.116
1	1_2	20	19	0.95	0.465	0.046	0.115	0.116
1	1_3	18	14	0.778	0.133	0	0.111	0.116
1	1_4	20	20	1	0.793	NA	0.118	0.118
1	1_6	20	19	0.95	0.133	0.046	0.117	0.118
1	1_9	19	18	0.947	0.133	0.046	0.117	0.118
2	2_1	20	18	0.9	0.343	0.014	0.116	0.116
2	2_2	20	14	0.7	0.406	0	0.113	0.118
2	2_3	20	20	1	0.793	NA	0.118	0.118
2	2_4	19	19	1	0.921	NA	0.115	0.115
2	2_7	20	20	1	0.406	NA	0.116	0.116
2	2_8	19	19	1	0.709	NA	0.119	0.119
3	3_2	17	17	1	0.133	NA	0.117	0.117
3	3_3	13	12	0.923	0.133	0.046	0.117	0.118
3	3_4	20	20	1	0.133	NA	0.118	0.118
3	3_5	19	18	0.947	0.465	0.046	0.115	0.115
3	3_6	20	20	1	0.133	NA	0.118	0.118
3	3_7	20	19	0.95	0.343	0.046	0.115	0.115
4	4_11	20	20	1	0.793	NA	0.119	0.119
4	4_14	19	19	1	0.793	NA	0.119	0.119
4	4_4	20	16	0.8	0.343	0.001	0.115	0.117
4	4_5	20	20	1	0.717	NA	0.117	0.117
4	4_6	19	16	0.842	0.133	0.001	0.114	0.116
4	4_8	20	19	0.95	0.343	0.046	0.12	0.121
5	5_1	20	20	1	0.406	NA	0.121	0.121
5	5_2	20	18	0.9	0.343	0.014	0.118	0.12
5	5_3	20	16	0.8	0.417	0	0.111	0.115
5	5_6	19	11	0.579	0.709	0	0.107	0.121
5	5_7	20	13	0.65	0.133	0	0.112	0.119
5	5_8	19	14	0.737	0.793	0	0.114	0.117
