sample	CLUSTER	site	sites
428	1	4_8	1
472	2	4_14	1
529	3	5_3	1
488	4	5_1	1
564	5	5_7	1
486	6	5_1	1
319	7	3_5	1
418	8	4_6	1
507	9	5_2	1
57	10	1_4	1
482	11	5_1	1
577	12	5_7	1
580	12	5_7	1
12	13	1_2	1
29	14	1_3	1
23	15	1_3	1
25	15	1_3	1
26	15	1_3	1
27	15	1_3	1
141	16	2_2	1
152	17	2_2	1
248	18	3_2	1
289	19	3_4	1
536	20	5_3	1
407	21	4_6	1
408	21	4_6	1
483	22	5_1	1
566	23	5_7	1
188	24	2_4	1
74	25	1_6	1
496	26	5_1	1
528	27	5_3	1
555	28	5_6	1
422	29	4_8	1
600	30	5_8	1
451	31	4_11	1
426	32	4_8	1
453	33	4_11	1
342	34	3_7	1
561	35	5_7	1
247	36	3_2	1
438	37	4_8	1
348	38	3_7	1
396	39	4_5	1
154	40	2_2	1
202	41	2_7	1
67	42	1_6	1
113	43	1_10	1
391	44	4_5	1
149	45	2_2	1
48	46	1_4	1
560	47	5_6	1
374	48	4_4	1
448	49	4_11	1
584	50	5_8	1
404	51	4_6	1
456	52	4_11	1
302	53	3_5	1
443	54	4_11	1
56	55	1_4	1
231	56	2_8	1
117	57	1_10	1
300	58	3_4	1
345	59	3_7	1
509	60	5_2	1
298	61	3_4	1
299	62	3_4	1
192	63	2_4	1
8	64	1_2	1
11	65	1_2	1
42	66	1_4	1
291	67	3_4	1
22	68	1_3	1
450	69	4_11	1
4	70	1_2	1
15	71	1_2	1
16	72	1_2	1
175	73	2_3	1
73	74	1_6	1
91	75	1_9	1
39	76	1_3	1
397	77	4_5	1
84	79	1_9	1
160	80	2_2	1
105	81	1_10	1
471	82	4_14	1
70	83	1_6	1
34	84	1_3	1
35	84	1_3	1
60	85	1_4	1
386	86	4_5	1
221	87	2_8	1
252	88	3_2	1
200	89	2_4	1
349	90	3_7	1
32	91	1_3	1
336	92	3_6	1
394	93	4_5	1
211	94	2_7	1
283	95	3_4	1
281	96	3_4	1
193	97	2_4	1
357	98	3_7	1
72	99	1_6	1
136	100	2_1	1
181	101	2_4	1
361	102	4_4	1
377	102	4_4	1
232	103	2_8	1
379	104	4_4	1
314	105	3_5	1
558	106	5_6	1
378	107	4_4	1
437	108	4_8	1
68	109	1_6	1
167	110	2_3	1
478	111	4_14	1
146	112	2_2	1
120	113	1_10	1
218	114	2_7	1
118	115	1_10	1
205	116	2_7	1
182	118	2_4	1
10	119	1_2	1
329	120	3_6	1
423	121	4_8	1
480	122	4_14	1
148	123	2_2	1
249	124	3_2	1
390	125	4_5	1
133	126	2_1	1
381	127	4_5	1
83	128	1_9	1
267	129	3_3	1
31	130	1_3	1
341	131	3_7	1
131	132	2_1	1
344	133	3_7	1
238	134	2_8	1
346	135	3_7	1
296	136	3_4	1
128	137	2_1	1
208	138	2_7	1
398	139	4_5	1
145	140	2_2	1
325	141	3_6	1
21	142	1_3	1
62	143	1_6	1
447	144	4_11	1
7	145	1_2	1
121	146	2_1	1
41	147	1_4	1
86	148	1_9	1
293	149	3_4	1
484	150	5_1	1
9	151	1_2	1
464	152	4_14	1
251	153	3_2	1
163	154	2_3	1
239	155	2_8	1
353	156	3_7	1
78	157	1_6	1
13	158	1_2	1
17	158	1_2	1
135	159	2_1	1
470	160	4_14	1
338	161	3_6	1
124	162	2_1	2
186	162	2_4	2
110	163	1_10	1
150	164	2_2	1
335	165	3_6	1
103	166	1_10	1
241	167	3_2	1
225	168	2_8	1
326	169	3_6	1
331	170	3_6	1
322	171	3_6	1
340	173	3_6	1
388	174	4_5	1
147	175	2_2	1
309	176	3_5	1
459	177	4_11	1
51	178	1_4	1
556	179	5_6	1
138	180	2_1	1
93	181	1_9	1
122	182	2_1	1
197	183	2_4	1
132	184	2_1	1
65	185	1_6	1
102	186	1_10	1
36	187	1_3	1
171	188	2_3	2
184	188	2_4	2
180	189	2_3	1
54	190	1_4	1
219	191	2_7	1
552	192	5_6	1
501	193	5_2	1
503	193	5_2	1
235	195	2_8	1
420	196	4_6	1
255	197	3_2	1
373	198	4_4	1
59	199	1_4	1
228	200	2_8	1
282	201	3_4	1
457	202	4_11	1
596	203	5_8	1
419	204	4_6	1
261	205	3_3	1
351	206	3_7	1
352	206	3_7	1
112	207	1_10	1
114	207	1_10	1
253	208	3_2	1
53	209	1_4	1
303	210	3_5	1
304	210	3_5	1
69	211	1_6	1
250	212	3_2	1
375	213	4_4	1
5	214	1_2	1
399	215	4_5	1
75	216	1_6	1
76	216	1_6	1
242	217	3_2	1
287	218	3_4	1
233	219	2_8	1
359	220	3_7	1
64	221	1_6	1
168	222	2_3	1
115	223	1_10	1
217	224	2_7	1
257	225	3_2	1
55	226	1_4	1
598	227	5_8	1
301	228	3_5	1
327	229	3_6	1
475	230	4_14	1
292	231	3_4	1
107	232	1_10	1
172	233	2_3	1
177	234	2_3	1
473	235	4_14	1
400	236	4_5	1
1	237	1_2	1
43	238	1_4	1
435	239	4_8	1
508	240	5_2	1
516	241	5_2	1
183	242	2_4	1
215	243	2_7	1
109	244	1_10	1
313	245	3_5	1
33	246	1_3	1
164	247	2_3	1
134	248	2_1	1
284	249	3_4	1
129	250	2_1	1
169	251	2_3	1
389	252	4_5	1
409	253	4_6	1
306	254	3_5	1
415	255	4_6	1
80	256	1_6	1
206	257	2_7	1
189	258	2_4	1
269	259	3_3	1
161	260	2_3	1
199	261	2_4	1
467	262	4_14	1
264	263	3_3	1
445	264	4_11	1
265	265	3_3	1
318	266	3_5	1
402	267	4_6	1
425	268	4_8	1
427	269	4_8	1
198	270	2_4	1
589	271	5_8	1
590	271	5_8	1
178	272	2_3	1
195	273	2_4	1
58	274	1_4	1
97	275	1_9	1
387	276	4_5	1
77	277	1_6	1
173	278	2_3	1
439	279	4_8	1
52	280	1_4	1
315	281	3_5	1
505	282	5_2	1
214	283	2_7	1
343	284	3_7	1
244	285	3_2	1
355	286	3_7	1
44	287	1_4	1
71	288	1_6	1
28	289	1_3	1
179	290	2_3	1
442	291	4_11	1
317	292	3_5	1
452	293	4_11	1
266	294	3_3	1
268	294	3_3	1
272	295	3_3	1
460	296	4_11	1
95	297	1_9	1
207	298	2_7	1
100	299	1_9	1
571	300	5_7	1
223	301	2_8	1
