Site	Block	Depth m	Sed Mean	Sed Max	Rms Mean	Height Mean	Height Sd
1_10	1	3	0.171	0.185	0.804	0.009	0.004
1_2	1	1.2	0.252	0.348	0.804	0.009	0.004
1_3	1	3	0.146	0.179	0.804	0.009	0.004
1_4	1	3.5	0.136	0.187	0.804	0.009	0.004
1_6	1	0.7	0.149	0.176	0.804	0.009	0.004
1_9	1	2.6	0.17	0.217	0.804	0.009	0.004
2_1	2	1.2	0.369	0.594	11.178	0.226	0.054
2_2	2	0.5	0.194	0.363	11.178	0.226	0.054
2_3	2	0.5	0.162	0.235	11.178	0.226	0.054
2_4	2	2.4	1.639	2.368	11.178	0.226	0.054
2_7	2	1.5	0.573	1.034	11.178	0.226	0.054
2_8	2	2.1	0.485	0.815	11.178	0.226	0.054
3_2	3	1.4	0.251	0.57	3.579	0.046	0.013
3_3	3	1	0.221	0.405	3.579	0.046	0.013
3_4	3	1	0.197	0.303	3.579	0.046	0.013
3_5	3	0.9	0.171	0.224	3.579	0.046	0.013
3_6	3	0.9	0.187	0.236	3.579	0.046	0.013
3_7	3	0.7	0.146	0.192	3.579	0.046	0.013
4_11	4	1.4	0.252	0.417	6.803	0.056	0.019
4_14	4	1.4	0.372	0.489	6.803	0.056	0.019
4_4	4	1.4	0.205	0.334	6.803	0.056	0.019
4_5	4	1.1	0.175	0.262	6.803	0.056	0.019
4_6	4	1.5	0.54	0.82	6.803	0.056	0.019
4_8	4	1.2	0.12	0.169	6.803	0.056	0.019
5_1	5	1.2	0.444	0.659	12.564	0.315	0.055
5_2	5	2.7	0.764	1.027	12.564	0.315	0.055
5_3	5	2.4	0.344	0.515	12.564	0.315	0.055
5_6	5	3.5	0.616	0.922	12.564	0.315	0.055
5_7	5	3.3	0.592	0.85	12.564	0.315	0.055
5_8	5	3.2	0.515	0.698	12.564	0.315	0.055
