coral_sample,site,id,date_collected,time,direction,distance_from_0_m,left_or_right_of_transect,distance_from_transect_cm,length_cm,width_cm,growth_morph_branch_plate_hybrid_ljrj_fd,notes_ljrj,growth_morph_branch_plate_hybrid_dc,color,health_at_collection_(dc),fluorescence_(y/n_-_color),notes,health_1_(dc_-_9/18-19),health_2_(dc_-_10/3-4),health_2_(cc/mrds-_10/3-4)
1_2_1,1_2,1,20170814,1000.0,West,7.2,Right,100,95,60,Branch,,Branch,Orange,,,,3.0,,
1_2_2,1_2,2,20170814,1000.0,West,8.1,Under,,40,30,Branch,,Branch,Brown,,,,3.0,,
1_2_3,1_2,3,20170814,1000.0,West,8.9,Left,25,25,20,Hybrid,,Branch,Orange,,,,2.0,,
1_2_4,1_2,4,20170814,1000.0,West,8.8,Right,100,50,40,Branch,,Branch,Orange,,,,,,
1_2_5,1_2,5,20170814,1000.0,South,3.1,Left,120,40,30,Branch,2 small Mc next to each other,Branch,Orange,,,,,,3.0
1_2_6,1_2,6,20170814,1000.0,South,10.3,Left,70,45,40,Branch,,Branch,Orange,,,,,,
1_2_7,1_2,7,20170814,1000.0,South,10,Left,180,>100,>100,Hybrid,,Hybrid,Orange,,,,,,
1_2_8,1_2,8,20170814,1000.0,East,1,Right,5,>100,>100,Hybrid,,Hybrid,Orange,,,,3.0,,2.0
1_2_9,1_2,9,20170814,1000.0,East,2.7,Right,50,65,30,Branch,,Branch,Orange,,,,3.0,3.0,2.0
1_2_10,1_2,10,20170814,1000.0,East,3.3,Under,,65,50,Branch,,Branch,Brown,,,,3.0,3.0,2.0
1_2_11,1_2,11,20170814,1000.0,East,4,Right,10,40,25,Branch,,Hybrid,Orange,,,,2.0,2.0,1.0
1_2_12,1_2,12,20170814,1000.0,East,4.6,Under,,>100,>100,Branch,,Branch,Orange,,,,3.0,3.0,3.0
1_2_13,1_2,13,20170814,1000.0,East,5.4,Under,,65,50,Branch,gold color,Branch,Orange,,,,3.0,3.0,3.0
1_2_14,1_2,14,20170814,1000.0,East,6.7,Left,15,55,45,Branch,,Branch,Brown,,,,3.0,3.0,
1_2_15,1_2,15,20170814,1000.0,East,7.4,Left,60,95,70,Branch,,Branch,Orange,,,,,3.0,2.0
1_2_16,1_2,16,20170814,1000.0,East,8.3,Left,15,45,40,Branch,,Branch,Orange,,,,2.0,3.0,1.5
1_2_17,1_2,17,20170814,1000.0,East,9.8,Left,40,55,40,Branch,gold color,Branch,Orange,,,,3.0,3.0,3.0
1_2_18,1_2,18,20170814,1000.0,North,4,Right,10,65,50,Branch,,Branch,Orange,,,,,1.0,
1_2_19,1_2,19,20170814,1000.0,North,5,Left,10,65,25,Branch,lose,Branch,Orange,,,,3.0,3.0,
1_2_20,1_2,20,20170814,1000.0,North,6,Left,5,>100,>100,Branch,,Branch,Orange,,,,3.0,3.0,
1_3_1,1_3,21,20170828,1000.0,West,1.9,Right,100,110,90,Branch,notes not clear; dis fr tape says 100 cm,Branch,Orange,3.0,,some bleached tips but overall very healthy,2.0,3.0,
1_3_2,1_3,22,20170828,1000.0,West,1.8,Right,60?,90,50,Branch,notes not clear; dis fr tape says 600 cm,Branch,Orange,2.0,,,2.0,,
1_3_3,1_3,23,20170828,1000.0,West,4,Right,40,70,50,Branch,,Branch,Orange,3.0,,,2.0,3.0,
1_3_4,1_3,24,20170828,1000.0,West,4.2,Left,140,60,50,Branch,,Branch,Orange,3.0,,,2.0,3.0,
1_3_5,1_3,25,20170828,1000.0,West,5,Under,,60,60,Branch,,Branch,Orange,3.0,some bleached tips but overall very healthy,,3.0,3.0,
1_3_6,1_3,26,20170828,1000.0,West,5.2,Right,60,75,40,Branch,,Branch,Orange,2.0,,,3.0,2.0,
1_3_7,1_3,27,20170828,1000.0,West,5.8,Right,130,75,60,Branch,,Branch,Orange,2.0,,,2.0,2.0,
1_3_8,1_3,28,20170828,1000.0,West,7.1,Left,10,70,55,Branch,,Branch,Orange,2.0,some bleached portions but only really in one section,,3.0,,
1_3_9,1_3,29,20170828,1000.0,West,8.3,Right,60,80,50,Branch,,Branch,Orange,3.0,,,3.0,,
1_3_10,1_3,30,20170828,1000.0,West,10.5,Left,100,90,70,Branch,,Branch,Orange,2.0,,,,,
1_3_11,1_3,31,20170828,1000.0,South,0.5,Under,,60,35,Branch,,Branch,Orange,2.0,,,2.0,3.0,
1_3_12,1_3,32,20170828,1000.0,South,0.6,Right,80,70,65,Branch,,Branch,Orange,3.0,,,,3.0,
1_3_13,1_3,33,20170828,1000.0,South,2.1,Left,50,35,30,Hybrid,,Plate,Orange,3.0,,,3.0,,
1_3_14,1_3,34,20170828,1000.0,South,3.2,Right,80,70,45,Hybrid,,Hybrid,Orange,3.0,,,2.0,2.0,
1_3_15,1_3,35,20170828,1000.0,South,3.7,Right,140,130,70,Hybrid,,Hybrid,Brown,2.0,,,,3.0,
1_3_16,1_3,36,20170828,1000.0,South,3.5,Under,,45,40,Hybrid,,Hybrid,Orange,2.0,,,2.0,2.0,
1_3_17,1_3,37,20170828,1000.0,South,5.5,Right,100,100,70,Branch,,Branch,Orange,3.0,,,,3.0,
1_3_18,1_3,38,20170828,1000.0,South,8.5,Under,,110,80,Hybrid,,Hybrid,Orange,3.0,,,,2.0,
1_3_19,1_3,39,20170828,1000.0,South,10,Right,110,80,50,Hybrid,,Branch,Orange,2.0,,,,2.0,
1_3_20,1_3,40,20170828,1000.0,South,10.2,Left,30,30,20,,,Hybrid,Brown,2.0,,,,2.0,
1_4_1,1_4,41,20170828,1045.0,West,1.3,Left,25,30,30,Branch,,Branch,Orange,2.0,,,3.0,2.0,
1_4_2,1_4,42,20170828,1045.0,West,1.2,Left,90,30,20,Branch,,Branch,Brown,3.0,,,2.0,3.0,
1_4_3,1_4,43,20170828,1045.0,West,1,Right,100,50,40,Branch,,Branch,Orange,3.0,Y - blue,,3.0,3.0,
1_4_4,1_4,44,20170828,1045.0,West,1.5,Right,150,55,50,Hybrid,,Hybrid,Brown,3.0,,,,3.0,
1_4_5,1_4,45,20170828,1045.0,West,3.6,Right,140,65,55,Hybrid,,Hybrid,Brown,2.0,,,2.0,2.0,
1_4_6,1_4,46,20170828,1045.0,West,5,Left,30,45,45,Branch,,Branch,Brown,3.0,,,,3.0,
1_4_7,1_4,47,20170828,1045.0,West,6.5,Right,100,45,35,Branch,,Branch,Brown,3.0,,,2.0,3.0,
1_4_8,1_4,48,20170828,1045.0,West,7.5,Right,20,45,15,Branch,,Branch,Brown,2.0,,,2.0,2.0,
1_4_9,1_4,49,20170828,1045.0,West,8.3,Right,130,90,70,Hybrid,,Hybrid,Orange,3.0,,,,,
1_4_10,1_4,50,20170828,1045.0,West,9.3,Left,40,70,45,Branch,,Branch,Orange,3.0,,,3.0,3.0,
1_4_11,1_4,51,20170828,1045.0,South,1.5,Under,,70,45,Branch,,Branch,Orange,3.0,,,2.0,3.0,
1_4_12,1_4,52,20170828,1045.0,South,1.4,Left,40,110,70,Hybrid,,Hybrid,Brown,2.0,,,,2.0,
1_4_13,1_4,53,20170828,1045.0,South,2.5,Under,,80,70,Branch,,Hybrid,Orange,3.0,,,3.0,3.0,
1_4_14,1_4,54,20170828,1045.0,South,3.5,Right,15,40,30,Branch,,Branch,Orange,3.0,,,3.0,3.0,
1_4_15,1_4,55,20170828,1045.0,South,4.6,Left,110,40,20,Branch,,Branch,Brown,3.0,,,,,
1_4_16,1_4,56,20170828,1045.0,South,5.9,Right,140,60,60,Branch,,Branch,Orange,3.0,,,,3.0,
1_4_17,1_4,57,20170828,1045.0,South,7.1,Under,,40,20,Hybrid,,Hybrid,Orange,3.0,,,,,
