block,site,g/day1_mean,g/day1_max,g/day1_std,g/day2_mean,g/day2_max,g/day2_std,g/day3_mean,g/day3_max,g/day3_std,g/day4_mean,g/day4_max,g/day4_std,g/day5_mean,g/day5_max,g/day5_std,g/day6_mean,g/day6_max,g/day6_std,g/day7_mean,g/day7_max,g/day7_std
1,1_10,,,,0.0342344181,0.0342344181,,,,,0.0318888535,0.0318888535,,0.0258682917,0.0258682917,,0.0267372099,0.0267372099,,0.0276759893,0.0276759893,
1,1_2,0.0361073753,0.0361073753,,0.0412195025,0.0412195025,,0.0475151035,0.0475151035,,0.1209061133,0.1209061133,,0.0676156714,0.0676156714,,0.082439692,0.082439692,,0.0663761237,0.0663761237,
1,1_3,0.0149224663,0.0149224663,,0.0313952756,0.0313952756,,0.0121633192,0.0121633192,,0.0319001236,0.0319001236,,,,,0.023334711,0.023334711,,0.0174988,0.0174988,
1,1_4,0.0133345847,0.0133345847,,0.0349884881,0.0349884881,,0.0107895293,0.0107895293,,0.0242957691,0.0242957691,,0.0147934865,0.0147934865,,0.0176780905,0.0176780905,,,,
1,1_6,0.018466863,0.018466863,,0.0287432181,0.0287432181,,0.012117328,0.012117328,,0.0306634364,0.0306634364,,,,,0.0309693053,0.0309693053,,0.0162596329,0.0162596329,
1,1_9,0.0152557673,0.0152557673,,0.047109434,0.047109434,,0.0202281409,0.0202281409,,0.0325063701,0.0325063701,,0.0271724364,0.0271724364,,0.0318494118,0.0318494118,,0.0346357551,0.0346357551,
2,2_1,,,,0.2823499414,0.2823499414,,,,,0.3522454612,0.3522454612,,0.1038607799,0.1038607799,,0.0559900175,0.0559900175,,0.0260888996,0.0260888996,
2,2_2,0.0199511726,0.0199511726,,0.0532617151,0.0532617151,,0.0491627339,0.0491627339,,0.1315598132,0.1315598132,,0.0336892328,0.0336892328,,0.0229599064,0.0229599064,,0.004481194,0.004481194,
2,2_3,0.0127577689,0.0127577689,,0.0204941381,0.0204941381,,0.0379954496,0.0379954496,,0.0553903184,0.0553903184,,0.0230844428,0.0230844428,,0.0316636049,0.0316636049,,0.0131803704,0.0131803704,
2,2_4,1.4510014897,1.4510014897,,5.1339488987,5.1339488987,,1.8715007594,1.8715007594,,5.6057638392,5.6057638392,,2.7716337,2.7716337,,2.8284073756000003,2.8284073756000003,,0.85165587,0.85165587,
2,2_7,0.142231604,0.142231604,,0.4957458272,0.4957458272,,0.4561120929,0.4561120929,,1.0700269585,1.0700269585,,0.4861638267,0.4861638267,,0.1334666374,0.1334666374,,0.0253597109,0.0253597109,
2,2_8,,,,0.3483991931,0.3483991931,,0.1630402219,0.1630402219,,0.3491610727,0.3491610727,,0.6643235475,0.6643235475,,0.0779912334,0.0779912334,,0.0537419926,0.0537419926,
3,3_2,,,,0.0383124523,0.0383124523,,,,,,,,0.324573392,0.324573392,,0.0190816982,0.0190816982,,0.0101809569,0.0101809569,
3,3_3,,,,0.050402149,0.050402149,,0.035306865,0.035306865,,0.0603108256,0.0603108256,,0.1638955308,0.1638955308,,0.0183209687,0.0183209687,,0.0159915362,0.0159915362,
3,3_4,0.0291223774,0.0291223774,,0.0514070682,0.0514070682,,0.0253437324,0.0253437324,,0.0917788283,0.0917788283,,,,,0.0323335558,0.0323335558,,0.0198082743,0.0198082743,
3,3_5,,,,0.0393543934,0.0393543934,,0.0172167159,0.0172167159,,0.0500099714,0.0500099714,,,,,0.0264498711,0.0264498711,,0.0200218242,0.0200218242,
3,3_6,0.0546936781,0.0546936781,,0.0416525373,0.0416525373,,0.055770002,0.055770002,,,,,0.0508026981,0.0508026981,,0.0145432211,0.0145432211,,0.0103342099,0.0103342099,
3,3_7,0.0153717899,0.0153717899,,0.036888653,0.036888653,,0.0131213167,0.0131213167,,0.0258465745,0.0258465745,,0.0247251245,0.0247251245,,0.0326305957,0.0326305957,,0.0084829579,0.0084829579,
4,4_11,,,,0.1107120596,0.1107120596,,0.0601385257,0.0601385257,,0.1740239357,0.1740239357,,0.0014827723,0.0014827723,,0.0823898734,0.0823898734,,0.0363886419,0.0363886419,
4,4_14,0.0052799877,0.0052799877,,0.2389889717,0.2389889717,,0.2022092539,0.2022092539,,0.2275334913,0.2275334913,,,,,,,,,,
4,4_4,,,,0.0653455812,0.0653455812,,0.0543590695,0.0543590695,,0.1116875816,0.1116875816,,0.0188196063,0.0188196063,,0.0280415094,0.0280415094,,0.0104132363,0.0104132363,
4,4_5,,,,0.04431983,0.04431983,,0.0335409803,0.0335409803,,0.0684604646,0.0684604646,,0.0225537047,0.0225537047,,0.0172545769,0.0172545769,,0.0121613624,0.0121613624,
4,4_6,0.1088826523,0.1088826523,,0.5520634501,0.5520634501,,0.246946643,0.246946643,,0.6726518206,0.6726518206,,0.0348346583,0.0348346583,,0.5963470893,0.5963470893,,0.1862989845,0.1862989845,
4,4_8,0.0123285962,0.0123285962,,,,,,,,,,,,,,0.0284795345,0.0284795345,,0.0063985888,0.0063985888,
5,5_1,,,,0.4347236883,0.4347236883,,0.1337064494,0.1337064494,,0.0905078777,0.0905078777,,0.0829774906,0.0829774906,,0.3172045186,0.3172045186,,0.2356849926,0.2356849926,
5,5_2,0.3587776148,0.3587776148,,1.054252998,1.054252998,,0.7202284204,0.7202284204,,0.9852268086,0.9852268086,,,,,0.4741763981,0.4741763981,,0.1812592431,0.1812592431,
5,5_3,,,,0.1521155636,0.1521155636,,0.0777498099,0.0777498099,,0.1422922947,0.1422922947,,0.2655195378,0.2655195378,,,,,0.025716128,0.025716128,
5,5_6,0.1772384728,0.1772384728,,0.8505222168,0.8505222168,,0.4282653628,0.4282653628,,,,,,,,,,,0.2176547853,0.2176547853,
