feature,importance,rank,model
health_change_t2,0.04826719660692541,1,Ensemble
avg_coral_health,0.04091710969690387,2,Ensemble
lon,0.03855563366353156,3,Ensemble
max_dhw,0.03679396319050265,4,Ensemble
dhw_range,0.036068895511767514,5,Ensemble
coral_health_t2_mean,0.03522501492048187,6,Ensemble
mean_dhw,0.03465971375328296,7,Ensemble
g_day2_mean,0.03351852272363277,8,Ensemble
notes,0.030725632735265705,9,Ensemble
lat,0.0306908599174245,10,Ensemble
coral_health_t1_mean,0.030278545009554667,11,Ensemble
dhw_squared,0.030149259556649988,12,Ensemble
coral_length_cm_mean,0.030097669989516483,13,Ensemble
depth_squared,0.029992739009921755,14,Ensemble
coral_length_cm_std,0.029006714792720323,15,Ensemble
dhw_normalized,0.028411304977932934,16,Ensemble
g_day6_max,0.02683594599366188,17,Ensemble
depth_thermal_interaction,0.02666229084134102,18,Ensemble
resilience_index,0.02642645974946283,19,Ensemble
coral_health_initial_mean,0.02491124319921799,20,Ensemble
coral_area_estimate,0.02224546774921954,21,Ensemble
num_mc_s2n_dc,0.020257402689948786,22,Ensemble
site,0.019651196399132678,23,Ensemble
dhw,0.018768891231632653,24,Ensemble
avg_sedimentation,0.018449476061982786,25,Ensemble
date_time_site_visited,0.016727995112330675,26,Ensemble
max_sedimentation,0.014395399019122124,27,Ensemble
coral_aspect_ratio,0.01431529032683496,28,Ensemble
dhw_log,0.014216933309247554,29,Ensemble
sedimentation_variability,0.013772837072610854,30,Ensemble
coral_size_ratio,0.013430215950259398,31,Ensemble
g_day7_max,0.013126005451353482,32,Ensemble
size_health_interaction,0.011349685862660408,33,Ensemble
g_day2_max,0.011109334230422973,34,Ensemble
depth_sedimentation_interaction,0.010790279734383804,35,Ensemble
coral_width_cm_std,0.010561539977788924,36,Ensemble
g_day6_mean,0.010101311082718167,37,Ensemble
sedimentation_stress_index,0.009697943553328514,38,Ensemble
health_change_t1,0.009595057916576681,39,Ensemble
thermal_protection_index,0.009366188322196703,40,Ensemble
composite_stress_index,0.00847834531298544,41,Ensemble
coral_width_cm_mean,0.008456934615969658,42,Ensemble
depth_thermal_stress,0.008006932027637957,43,Ensemble
g_day4_max,0.007701141642689141,44,Ensemble
pointID,0.006940000131726264,45,Ensemble
g_day7_mean,0.006864339485764503,46,Ensemble
distance_from_center,0.00646577775478363,47,Ensemble
g_day4_mean,0.006365449726581573,48,Ensemble
avg_sedimentation_normalized,0.005979601107537746,49,Ensemble
coral_perimeter_estimate,0.004618312697857618,50,Ensemble
