feature,importance,rank,model
pointID,0.21139896373056952,1,Neural Network
dhw_range,0.07357512953367844,2,Neural Network
date,0.0663212435233163,3,Neural Network
coral_length_cm_std,0.05906735751295268,4,Neural Network
time,0.04145077720207214,5,Neural Network
depth,0.039378238341968456,6,Neural Network
num_mc_s2n_mrs,0.038860103626943636,7,Neural Network
coral_health_t1_mean,0.030569948186528917,8,Neural Network
depth_thermal_interaction,0.030569948186528917,9,Neural Network
thermal_stress_level,0.027979274611398947,10,Neural Network
depth_m,0.02538860103626898,11,Neural Network
lon,0.024870466321244164,12,Neural Network
notes,0.02124352331606162,13,Neural Network
g_day7_max,0.020207253886010516,14,Neural Network
coral_health_initial_mean,0.01917098445595794,15,Neural Network
dhw,0.01709844559585426,16,Neural Network
coral_width_cm_std,0.016062176165803153,17,Neural Network
date_time_site_visited,0.015544041450776867,18,Neural Network
num_mc_e2w_dc,0.01502590673575058,19,Neural Network
num_mc_s2n_dc,0.013989637305699474,20,Neural Network
depth_sedimentation_interaction,0.013989637305699474,21,Neural Network
site,0.012953367875648368,22,Neural Network
g_day6_max,0.012435233160622082,23,Neural Network
avg_coral_health,0.012435233160622082,24,Neural Network
g_day5_mean,0.012435233160622082,25,Neural Network
sedimentation_variability,0.011917098445595794,26,Neural Network
coral_aspect_ratio,0.011917098445595794,27,Neural Network
num_mc_e2w_mrs,0.010880829015544689,28,Neural Network
distance_from_center,0.008808290155441009,29,Neural Network
coral_health_t2_mean,0.0077720207253884335,30,Neural Network
g_day6_mean,0.0077720207253884335,31,Neural Network
g_day4_max,0.006735751295337328,32,Neural Network
coral_area_estimate,0.006735751295337328,33,Neural Network
g_day2_mean,0.006217616580311041,34,Neural Network
g_day1_max,0.006217616580311041,35,Neural Network
avg_sedimentation,0.006217616580311041,36,Neural Network
g_day5_max,0.005699481865284754,37,Neural Network
g_day7_mean,0.005699481865284754,38,Neural Network
coral_length_cm_mean,0.0051813471502584665,39,Neural Network
lat,0.004663212435233648,40,Neural Network
depth_category,0.00414507772020736,41,Neural Network
max_dhw,0.003108808290154786,42,Neural Network
g_day1_mean,0.0025906735751299675,43,Neural Network
coral_width_cm_mean,0.00207253886010368,44,Neural Network
region,0.001554404145077393,45,Neural Network
g_day4_mean,0.0010362694300511057,46,Neural Network
mean_dhw,0.0005181347150262873,47,Neural Network
g_day3_max,0.0005181347150262873,48,Neural Network
max_sedimentation,0.0,49,Neural Network
g_day3_mean,0.0,50,Neural Network
block,0.0,51,Neural Network
g_day2_max,0.0,52,Neural Network
