feature,importance,rank,model
health_change_t2,0.06021829,1,XGBoost
coral_health_t2_mean,0.058089163,2,XGBoost
g_day6_max,0.044726577,3,XGBoost
depth_thermal_interaction,0.04443715,4,XGBoost
g_day2_mean,0.042138714,5,XGBoost
dhw_squared,0.041992832,6,XGBoost
coral_health_t1_mean,0.037873942,7,XGBoost
coral_length_cm_std,0.032245453,8,XGBoost
dhw_normalized,0.02795073,9,XGBoost
max_sedimentation,0.023992332,10,XGBoost
avg_coral_health,0.023819538,11,XGBoost
sedimentation_variability,0.022954728,12,XGBoost
coral_size_ratio,0.021764498,13,XGBoost
coral_area_estimate,0.021699103,14,XGBoost
coral_length_cm_mean,0.021679811,15,XGBoost
depth_squared,0.020472934,16,XGBoost
dhw_log,0.020186117,17,XGBoost
size_health_interaction,0.018916143,18,XGBoost
resilience_index,0.018863501,19,XGBoost
g_day2_max,0.018515557,20,XGBoost
coral_width_cm_std,0.017602567,21,XGBoost
dhw_range,0.016977571,22,XGBoost
notes,0.016947262,23,XGBoost
lat,0.016270112,24,XGBoost
sedimentation_stress_index,0.01616324,25,XGBoost
g_day7_max,0.015478327,26,XGBoost
avg_sedimentation,0.015269251,27,XGBoost
thermal_protection_index,0.01488792,28,XGBoost
lon,0.014517387,29,XGBoost
coral_width_cm_mean,0.014094891,30,XGBoost
depth_thermal_stress,0.013344887,31,XGBoost
date_time_site_visited,0.013225709,32,XGBoost
coral_health_initial_mean,0.013138966,33,XGBoost
health_change_t1,0.012173394,34,XGBoost
dhw,0.012086439,35,XGBoost
mean_dhw,0.011945756,36,XGBoost
num_mc_s2n_dc,0.011884113,37,XGBoost
composite_stress_index,0.011860194,38,XGBoost
pointID,0.011566667,39,XGBoost
g_day7_mean,0.011440566,40,XGBoost
coral_aspect_ratio,0.011268518,41,XGBoost
max_dhw,0.010858876,42,XGBoost
distance_from_center,0.010776296,43,XGBoost
g_day4_mean,0.010609083,44,XGBoost
avg_sedimentation_normalized,0.009966002,45,XGBoost
site,0.009119383,46,XGBoost
depth_sedimentation_interaction,0.008902272,47,XGBoost
g_day4_max,0.008707269,48,XGBoost
g_day6_mean,0.008682784,49,XGBoost
coral_perimeter_estimate,0.007697188,50,XGBoost
